         instance    w    h  lots  land_cells  river_cells  preserve_cells  aptitude_classes  connected_components  batch_size  crossover_rate  keep_rate  new_rate     time  generations                  seed  num_new_solutions  num_crossovers  num_mutations  num_solutions_explored  generation_best  time_to_best  time_avg  time_std_dev  time_initial  value_best  value_worst  value_avg  value_std_dev  value_initial  max_area_best  max_area_worst  max_area_avg  max_area_std_dev  max_area_initial  min_area_best  min_area_worst  min_area_avg  min_area_std_dev  min_area_initial  rivers_best  rivers_worst  rivers_avg  rivers_std_dev  rivers_initial  river_violations_best  river_violations_worst  river_violations_avg  river_violations_std_dev  river_violations_initial  size_ratio_best  size_ratio_worst  size_ratio_avg  size_ratio_std_dev  size_ratio_initial  convexity_best  convexity_worst  convexity_avg  convexity_std_dev  convexity_initial  num_empty_crossover_lots  num_disconnected_crossover_lots  num_empty_mutation_lots  num_disconnected_mutation_lots
 400x400k60s16692  400  400    60      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          893  14032492555403150480                 60            4446           4446                    8952              275        618.06      2.02          1.61         24.94     6520.00     34135.76   11128.39        4898.27       44478.31           2093            1650       1918.80            248.44               958           3132            4291       3189.73            238.74              4805            0          3398       18.72          170.66             714                      0                      12                  0.47                      1.37                         8             1.50              2.60            1.72                0.44                5.02            1.30             1.40           1.30               0.03               1.49                       752                            38547                        0                               0
 400x400k80s16692  400  400    80      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          749  14040909592678018944                 30            3740           3740                    7510              683       1649.03      2.40          1.53         30.70     5130.22     27981.01    6816.32        2476.99       27981.01           1496            1043       1505.34            139.28              1043           2350            3101       2345.57            105.67              3101            0          1525       14.31          105.58            1525                      0                      12                  0.25                      1.39                        12             1.57              2.97            1.59                0.31                2.97            1.25             1.42           1.25               0.02               1.42                       387                            35814                        0                               0
500x500k100s32414  500  500   100      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          272  14033244963715974392                 15            1357           1357                    2729              265       1762.55      6.61          3.92         68.08    13754.22     42917.98   17458.96        5810.50       42917.98           1520            1093       1463.13             89.24              1093           4295            3694       4298.76            115.26              3694            0          9479      124.67          720.39            9479                      0                      19                  2.04                      4.06                        19             2.83              3.38            2.95                0.16                3.38            1.29             1.41           1.31               0.03               1.41                       508                            23766                        0                               0
 500x500k20s32414  500  500    20      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.01          951  14033420312288718565                 75            4733           4732                    9540              587       1035.83      1.89          2.27         34.31    19657.15    100847.11   58221.84       35100.06      100847.11           7914            6479       7567.89            524.10              6479          19375           18733      19511.92           1114.39             18733            0         12763       60.39          736.27           12763                      0                       2                  0.30                      0.93                         2             2.45              2.89            2.60                0.31                2.89            1.60             1.64           1.54               0.09               1.64                       558                            20455                        0                               0
 500x500k40s32414  500  500    40      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          473  14033420210446858744                 45            2354           2353                    4752              391       1464.94      3.80          3.25         40.96    35994.55     89012.49   46309.57       11101.00      110588.85           3867            3326       3710.31            358.41              3063          10857           10296      10781.34            423.97             10334            0         11625      174.89          931.97            7520                      0                       9                  0.72                      2.01                         9             2.81              3.10            2.95                0.52                3.37            1.44             1.59           1.42               0.03               1.61                      1063                            20248                        0                               0
 500x500k60s32414  500  500    60      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          415  14040689491665048301                 45            2061           2061                    4167               31        218.08      4.34          4.19         53.11    19826.98     59615.07   26152.27        8534.71       67296.81           2401            1641       2444.73            248.81              2065           6574            6857       6966.08            385.67              7831            0         10838      167.84         1041.80            9681                      0                      12                  1.67                      2.88                        15             2.74              4.18            2.89                0.43                3.79            1.36             1.47           1.34               0.06               1.37                       624                            27097                        0                               0
 500x500k80s32414  500  500    80      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          329  14040695323036498054                 30            1636           1635                    3301              224       1296.98      5.47          4.76         64.99    18423.70     63057.25   21586.08        5142.81       36827.46           1827            1690       1688.98            211.03              1445           5086            6912       4962.73            209.98              4966            0         14106      143.60         1002.06           10863                      0                      14                  2.07                      3.28                        14             2.78              4.09            3.01                0.64                3.44            1.31             1.42           1.34               0.04               1.48                       663                            27529                        0                               0
 600x600k100s6306  600  600   100      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          168  14033420793489185364                 15             837            837                    1689              166       1791.36     10.70          9.17        126.65    47220.84     82319.73   62236.24        4694.99       82319.73           2215            1370       1139.39            378.92              1370           5432            7130       5510.83            197.78              7130            0         19434     1395.60         2203.65           19434                      0                      23                  3.54                      3.28                        23             2.45              5.20            5.52                2.36                5.20            1.32             1.44           1.39               0.03               1.44                       824                            15328                        0                               0
  600x600k20s6306  600  600    20      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.15          625  14033272161478430602                 75            3105           3105                    6285              261        724.60      2.88          4.42         51.66   222836.64    328025.22  303028.23       58655.47      698310.49          13131            8196      11419.64           1208.62              3485          24702           27699      22897.15           2439.94             42783            0         33957      189.90         1632.43            8513                      0                       5                  0.47                      1.06                         6             1.88              3.38            2.04                0.56               12.28            1.49             1.66           1.50               0.08               1.60                       252                            16085                        0                               0
  600x600k40s6306  600  600    40      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.15          581  14033283524830159624                 45            2895           2895                    5835              348       1132.44      3.09          3.91         55.98   134268.36    198808.32  156523.05       24845.16      258809.81           6142            2805       4594.71            974.57              3044          12177           13253      12482.54            441.64             14281            0         19941      254.14         1423.20           16138                      0                       9                  0.83                      2.25                         8             1.98              4.72            2.85                0.69                4.69            1.52             1.60           1.50               0.06               1.53                       808                            24540                        0                               0
  600x600k60s6306  600  600    60      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          445  14033278903366009147                 30            2218           2218                    4466              331       1268.18      4.04          4.81         76.95    70190.30    155615.85   78907.08       12120.11      155615.85           3942            2683       3341.45           1005.86              2683           8362            9130       8441.30            216.25              9130            0         31536     1268.36         2220.38           31536                      0                      16                  2.28                      2.56                        16             2.12              3.40            3.12                2.06                3.40            1.47             1.50           1.45               0.04               1.50                       541                            27447                        0                               0
  600x600k80s6306  600  600    80      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.01          353  14032397767075434612                 30            1757           1756                    3543              249       1276.80      5.09          6.31         86.49    54040.54    108343.34   56373.41        7842.84      108343.34           3008            1798       2877.69            319.55              1798           6967            7995       7159.41            241.55              7995           61         24032      712.97         2302.42           24032                      3                      20                  3.18                      2.36                        20             2.32              4.45            2.54                0.47                4.45            1.41             1.49           1.40               0.04               1.49                       195                            30816                        0                               0
        fortaleza  449  250    40       23231         1388           87631                 4                     1         256            0.59       0.85      0.05  1800.00        16289  14042714937695224730                810           81180          81179                  163169             8180        904.22      0.11          0.05          0.98      975.29      5777.49    3083.70        1518.91        4681.20            534             283        361.18            119.72               210            618             918        752.39            121.92               904            0          6170       52.84          351.93            5008                      0                      22                  0.57                      2.60                        21             1.16              3.24            2.96                5.33                4.30            1.20             1.25           1.22               0.02               1.25                     33028                           184764                        0                               0
200x200k100s45221  200  200   100       37594         2241             165                 5                     7         256            0.59       0.85      0.05  1800.00         3737  14042783663726605889                210           18616          18616                   37442             3467       1671.13      0.48          0.17          2.92     5159.11      8706.62    3883.87         852.97        6494.06             90             137        141.12             33.24               158            638             850        605.17            124.12               777           25          4920      137.26          324.73            3871                      1                      27                  4.00                      5.77                        29             7.09              6.20            4.66                3.03                4.92            1.27             1.32           1.26               0.02               1.30                     15468                           138069                        0                               0
 200x200k20s45221  200  200    20       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00        14129  14042720188772323285                765           70392          70392                  141549             3633        461.56      0.13          0.08          1.29     5786.58     32617.51    9199.87        4171.96       14574.35           1447            1270       1217.96            244.37              1328           2452            3894       2403.87            111.23              2627            0          4094       27.42          170.66            1875                      0                      10                  0.33                      0.99                         6             1.69              3.07            2.29                4.29                1.98            1.26             1.38           1.22               0.03               1.28                      4231                           121402                        0                               0
 200x200k40s45221  200  200    40       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         7916  14042663125298563121                435           39436          39436                   79307             1263        282.13      0.23          0.11          2.13     2233.96     17958.94    5428.02        3671.03        6151.23            714             350        597.21            154.06               685           1245            2222       1350.56            213.15              1429            0          6300       69.85          291.92            2744                      0                      15                  0.98                      2.22                        16             1.74              6.35            3.06               10.67                2.09            1.26             1.29           1.25               0.03               1.31                      7710                           126881                        0                               0
 200x200k60s45221  200  200    60       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         5639  14041044718262443480                330           28089          28088                   56507              191         64.04      0.32          0.14          2.44     1834.89     12047.06    5018.59        3042.16       10541.72            470             243        338.58            120.27               238            815            1318        904.87            118.45              1202            0          5441      123.21          377.04            3772                      0                      22                  1.62                      3.46                        20             1.73              5.42            3.43                2.49                5.05            1.24             1.29           1.26               0.02               1.29                     11270                           132890                        0                               0
 200x200k80s45221  200  200    80       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00         4438  14042655097804649017                255           22109          22109                   44473              562        240.13      0.41          0.15          2.66     1248.68     10999.75    3934.59        1958.55       10999.75            341             139        229.02             85.64               139            626            1297        717.06            128.93              1297            0          5636       78.13          339.10            5636                      0                      24                  1.91                      4.86                        24             1.84              9.33            3.83                2.13                9.33            1.24             1.32           1.27               0.03               1.32                     13318                           132006                        0                               0
300x300k100s94113  300  300   100       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         1456  14042694743104996853                 75            7260           7260                   14595             1360       1676.28      1.24          0.58         10.93     4515.72     14609.30    7673.90        2743.12       12039.56            574             411        479.92            115.19               241           1085            1345       1293.43            201.93              1747            0         10418      124.38          559.17            7320                      0                      34                  3.54                      4.48                        23             1.89              3.27            3.01                1.39                7.25            1.26             1.38           1.29               0.04               1.35                      3641                            72617                        0                               0
 300x300k20s94113  300  300    20       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         6165  14041037368739107327                195           30765          30765                   61725              879        252.40      0.29          0.23          5.09   103546.21     52477.56   81785.10       24643.27       58121.46           2023            2157       1878.13            494.63              2381           7761            7720       7740.18             60.40              7720            0         11197     1605.65         1323.78            6106                      0                       9                  0.92                      0.75                         4             3.84              3.58            7.97               44.11                3.24            1.35             1.37           1.34               0.07               1.44                       669                            79616                        0                               0
 300x300k40s94113  300  300    40       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         3266  14042663125402595710                210           16262          16262                   32734             1674        947.12      0.55          0.41          6.84    10737.55     38798.23   23213.45        7251.78       42833.00           1429            1008       1097.57            305.05               962           2662            4545       3646.59            657.75              4171            0         11177      151.77          668.76            9554                      0                      18                  2.25                      3.03                        14             1.86              4.51            3.81                1.99                4.34            1.30             1.39           1.35               0.04               1.37                      6916                            70630                        0                               0
 300x300k60s94113  300  300    60       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.00         2299  14042698660519890763                120           11458          11458                   23036             2292       1795.23      0.78          0.48          8.42     6806.35     22896.53   11370.10        4528.46       19630.12            934             583        768.94            213.43               634           1821            2594       1991.43            246.32              2619            0          8707       77.78          528.27            7563                      0                      22                  0.76                      2.46                        20             1.95              4.45            3.08                1.93                4.13            1.26             1.44           1.33               0.04               1.36                      5148                            80439                        0                               0
 300x300k80s94113  300  300    80       81694         8189             117                 6                     4         256            0.59       0.85      0.05  1800.01         1800  14041012335215827323                150            8952           8951                   18053             1529       1534.35      1.00          0.70         10.13     5962.54     21814.29   11866.07        4476.25       21814.29            661             398        498.18            159.18               398           1470            2710       1848.62            426.70              2710            0         10873      238.37          869.76           10873                      0                      28                  5.39                      6.54                        28             2.22              6.81            4.34                2.31                6.81            1.28             1.31           1.32               0.05               1.31                      6680                            78785                        0                               0
400x400k100s16692  400  400   100      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          603  14042661268055605792                 45            3004           3004                    6053              456       1292.48      2.98          2.32         33.29     6972.11     19865.09    9239.97        1974.68       19865.09           1176             905       1010.78            145.37               905           1887            2910       1857.30            160.83              2910            0          2664       38.94          185.22            2664                      0                      13                  1.02                      2.30                        13             1.60              3.22            1.92                0.65                3.22            1.25             1.42           1.27               0.03               1.42                       675                            36452                        0                               0
 400x400k20s16692  400  400    20      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         2197  14041036184293582472                165           10934          10934                   22033             1384       1160.13      0.82          0.95         14.25    27761.26     77915.66   32396.06       12249.15      109494.91           7263            4705       6732.68            826.73              3865           9083           11068       9058.54            317.40             12322            0          3868       16.15          186.80            3502                      0                       6                  0.05                      0.41                         7             1.25              2.35            1.40                0.51                3.19            1.29             1.38           1.31               0.03               1.54                       529                            51596                        0                               0
 400x400k40s16692  400  400    40      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00         1372  14059468023668200313                 75            6838           6837                   13750             1337       1759.75      1.31          1.19         19.47    13720.15     39599.80   19522.66        6946.70       39599.80           3302            2620       3070.85            321.37              2620           4571            6343       4574.29            329.38              6343            0          1951        6.42           70.78            1951                      0                       6                  0.12                      0.67                         6             1.38              2.42            1.54                0.60                2.42            1.30             1.47           1.29               0.04               1.47                       767                            49501                        0                               0
 400x400k60s16692  400  400    60      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.01          922  14059407880363155284                 75            4590           4590                    9255              217        500.81      1.95          1.80         26.17     9225.21     37433.44   12908.71        5425.83       34644.86           2146            1409       1936.20            443.01              1433           3062            6247       3196.05            365.38              6285            0          3803       30.73          209.77            1722                      0                      11                  0.43                      1.68                        10             1.43              4.43            1.98                2.06                4.39            1.26             1.35           1.27               0.04               1.45                       936                            39140                        0                               0
 400x400k80s16692  400  400    80      153235         6765               0                 5                     2         256            0.59       0.85      0.05  1800.00          706  14032637250017813390                 45            3520           3520                    7085              504       1229.76      2.55          1.93         31.37     5159.34     25835.88    9296.18        4463.43       19666.51           1572             974       1369.39            260.87               982           2373            3100       2445.19            374.70              3846            0          4089       26.31          185.28            1113                      0                      17                  0.62                      2.11                        12             1.51              3.18            2.08                1.99                3.92            1.24             1.44           1.26               0.04               1.46                       924                            36708                        0                               0
500x500k100s32414  500  500   100      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          232  14032387596739552637                 30            1152           1152                    2334              230       1791.59      7.75          5.94         68.87    15274.23     54898.62   26633.62        6350.87       49628.81           1588             607       1294.34            211.74               968           4410           11744       4251.99            530.11              4280            0          8948      344.22         1109.29            8035                      0                      19                  6.35                      4.38                        19             2.78             19.35            3.43                1.27                4.42            1.32             1.46           1.39               0.04               1.44                      1073                            22328                        0                               0
 500x500k20s32414  500  500    20      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00         1418  14059626180171157253                 30            7084           7083                   14197             1402       1764.84      1.27          1.15         29.80    63285.70     88195.36  113403.24       11268.37       88195.36           7974            6115       7212.47            427.76              6115          20050           18480      19246.68            377.25             18480            0          9666       14.11          316.79            9666                      0                       4                  0.05                      0.42                         4             2.51              3.02            2.73                1.03                3.02            1.43             1.43           1.45               0.05               1.43                       110                            36126                        0                               0
 500x500k40s32414  500  500    40      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          607  14040829707126958573                 45            3021           3021                    6087              603       1792.50      2.96          3.14         45.25    30656.58     57260.82   42976.78        8063.75       69327.14           3670            3022       3434.16            214.67              3419           9473            9416       9996.77            361.64              9447            0          6679       75.63          545.11            5877                      0                       8                  0.35                      1.26                         9             2.58              3.12            2.92                0.22                2.76            1.42             1.66           1.38               0.05               1.59                       745                            27666                        0                               0
 500x500k60s32414  500  500    60      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          316  14059671938750530851                 45            1566           1565                    3176              160        961.90      5.70          4.67         50.68    56213.63     45855.58   44563.85        8964.95       66943.68            319            2009       1634.57            921.58              1801           6296            6969       6182.46            329.49              6818            5         10077      261.16         1297.02            7434                      3                      12                  3.35                      2.37                        15            19.74              3.47            8.19                7.92                3.79            1.37             1.47           1.41               0.05               1.45                      1379                            19311                        0                               0
 500x500k80s32414  500  500    80      242511         5001            2488                 7                     7         256            0.59       0.85      0.05  1800.00          295  14059468022571787727                 30            1467           1467                    2964              116        788.04      6.09          4.92         61.84    17537.70     52663.68   22220.89        7135.50       52663.68           1967            1883       1794.53            359.28              1883           5489            4960       5288.08            265.25              4960            0         12918      188.50          999.40           12918                      0                      17                  2.81                      3.60                        17             2.79              2.63            3.10                0.84                2.63            1.28             1.40           1.32               0.06               1.40                       783                            23788                        0                               0
 600x600k100s6306  600  600   100      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          256  14059671939362158239                 15            1276           1276                    2567              219       1580.53      7.03          7.69        124.87    53226.44     80325.53   55002.98        2806.50       80325.53           1933            1246       1641.86            396.48              1246           5469            5582       5622.55            220.70              5582            0         16898      782.73         1632.10           16898                      0                      17                  2.72                      2.78                        17             2.83              4.48            3.76                1.51                4.48            1.37             1.41           1.39               0.03               1.41                       211                            23320                        0                               0
  600x600k20s6306  600  600    20      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          714  14033285298823895169                 60            3552           3552                    7164              702       1780.54      2.52          3.65         51.76   309932.03    487185.85  346137.22       58610.26      390480.63          12042            7563      10479.73           1545.03             10797          21717           29776      22459.38           1973.76             22792            0         20654      135.18         1123.43           12153                      0                       8                  0.29                      0.88                         5             1.80              3.94            4.94               72.51                2.11            1.45             1.74           1.54               0.06               1.59                       306                            20572                        0                               0
  600x600k40s6306  600  600    40      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          526  14033387420728769299                 45            2620           2619                    5284              369       1262.10      3.42          3.97         54.51   137249.19    228696.12  155663.77       27597.05      210528.18           4581            3236       4289.21            499.59              4522          12434           15058      12606.33            812.29             15949            0         17643      249.10         1355.48           12286                      0                      10                  0.40                      1.38                         8             2.71              4.65            2.99                0.52                3.53            1.49             1.72           1.49               0.09               1.80                       794                            21857                        0                               0
  600x600k60s6306  600  600    60      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.03          428  14033283021362535381                 30            2135           2135                    4300              192        865.29      4.20          4.90         74.19    94767.68    160511.87   97818.31       11108.22      119909.14           2696            2801       2632.02            687.18              1426           7831           11538       8078.05            473.64              8593            0         19827      625.13         1452.82           15002                      0                      15                  2.43                      2.33                        12             2.90              4.12            4.81                7.38                6.03            1.46             1.57           1.44               0.04               1.44                       744                            25642                        0                               0
  600x600k80s6306  600  600    80      342444        17364             192                10                     4         256            0.59       0.85      0.05  1800.00          356  14033283996305458462                 15            1778           1778                    3571              346       1760.81      5.05          4.60         87.22    65923.14    117571.72   67977.28        4194.04      117571.72            836            1833        992.16            691.00              1833           5994            8000       6133.32            263.11              8000            0         25157      797.52         2249.38           25157                      0                      15                  2.83                      3.23                        15             7.17              4.36           10.95                8.61                4.36            1.43             1.54           1.44               0.03               1.54                       385                            28672                        0                               0
        fortaleza  449  250    40       23231         1388           87631                 4                     1         256            0.59       0.85      0.05  1800.00        16031  14059433835695115973                900           79859          79858                  160617             8330        945.92      0.11          0.05          1.03      963.79      6617.52    3094.71        1626.29        3062.98            510             363        363.83            119.01               345            621            1140        762.99            139.28               833            0          6152       56.86          361.51            3583                      0                      25                  0.64                      2.72                        24             1.22              3.14            2.90                4.19                2.41            1.19             1.25           1.22               0.02               1.21                     33797                           177874                        0                               0
200x200k100s45221  200  200   100       37594         2241             165                 5                     7         256            0.59       0.85      0.05  1800.00         3751  14060157390238396819                270           18668          18667                   37605             1961        942.64      0.48          0.18          3.10     5391.62      7920.83    3820.67         815.10        6885.76            150             142        152.90             36.50               178            682             922        592.93             80.10              1330           15          4983      151.84          368.97            4444                      1                      32                  4.33                      6.57                        32             4.55              6.49            4.33                3.03                7.47            1.25             1.30           1.26               0.02               1.32                     16831                           138903                        0                               0
 200x200k20s45221  200  200    20       37196         2241             563                 5                     7         256            0.59       0.85      0.05  1800.00        13627  14059492856135314241                735           67893          67893                  136521             7425        992.26      0.13          0.08          1.52     5560.69     23931.87    8899.84        4392.44       25862.04           1456             876       1240.46            261.87               738           2484            3328       2386.53            103.57              2882            0          4086       29.65          164.25            1871                      0                       6                  0.44                      1.06                         3             1.71              3.80            2.24                2.60                3.91            1.26             1.42           1.23               0.04               1.30                      3837                           116858                        0                               0
